Severity,ID,CVSS V3: Base Score,Last updated,Status,Source,CVSS V3: Vector,Package Matched CPE,Vulnerability Matched CPE
4,CVE-2022-48174,9.8,"October 21, 2024 (15:21:36)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:busybox:busybox:1.31.1:*:*:*:*:*:*:*,cpe:2.3:a:busybox:busybox:*:*:*:*:*:*:*:*
3,CVE-2017-18269,9.8,"October 21, 2024 (15:21:41)",undetermined,nvd,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2018-11236,9.8,"October 21, 2024 (15:21:41)",undetermined,nvd,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2019-9169,9.8,"October 21, 2024 (15:21:42)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2020-8597,9.8,"October 21, 2024 (15:21:46)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:point-to-point_protocol_project:point-to-point_protocol:2.4.5:*:*:*:*:*:*:*,cpe:2.3:a:point-to-point_protocol_project:point-to-point_protocol:*:*:*:*:*:*:*:*
3,CVE-2021-3773,9.8,"October 21, 2024 (15:23:15)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
3,CVE-2011-2897,9.8,"October 21, 2024 (15:21:41)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnome:gdk-pixbuf:2.30.3:*:*:*:*:*:*:*,cpe:2.3:a:gnome:gdk-pixbuf:*:*:*:*:*:*:*:*
3,CVE-2018-6551,9.8,"October 21, 2024 (15:21:42)",undetermined,nvd,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2017-15804,9.8,"October 21, 2024 (15:21:42)",undetermined,nvd,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2015-5224,9.8,"October 21, 2024 (15:21:48)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:kernel:util-linux:2.13:*:*:*:*:*:*:*,cpe:2.3:a:kernel:util-linux:*:*:*:*:*:*:*:*
3,CVE-2017-18174,9.8,"October 21, 2024 (15:22:32)",undetermined,nvd,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
3,CVE-2018-11574,9.8,"October 21, 2024 (15:21:46)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:point-to-point_protocol_project:point-to-point_protocol:2.4.5:*:*:*:*:*:*:*,cpe:2.3:a:point-to-point_protocol_project:point-to-point_protocol:*:*:*:*:*:*:*:*
3,CVE-2018-6485,9.8,"October 21, 2024 (15:21:43)",undetermined,nvd,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2023-0687,9.8,"October 21, 2024 (15:21:43)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2017-12858,9.8,"October 21, 2024 (15:21:45)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,cpe:2.3:a:libzip:libzip:1.2.0:*:*:*:*:*:*:*
3,CVE-2019-3689,9.8,"October 21, 2024 (15:21:46)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,cpe:2.3:a:linux-nfs:nfs-utils:*:*:*:*:*:*:*:*
3,CVE-2021-35942,9.1,"October 21, 2024 (15:21:43)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2019-17582,9.8,"October 21, 2024 (15:21:45)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,cpe:2.3:a:libzip:libzip:1.2.0:*:*:*:*:*:*:*
3,CVE-2017-15670,9.8,"October 21, 2024 (15:21:43)",undetermined,nvd,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2022-23219,9.8,"October 21, 2024 (15:21:44)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2022-23218,9.8,"October 21, 2024 (15:21:44)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
3,CVE-2023-5841,9.1,"October 21, 2024 (15:21:36)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,,cpe:2.3:a:openexr:openexr:*:*:*:*:*:*:*:*
3,CVE-2023-5841,9.1,"October 21, 2024 (15:21:36)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,,cpe:2.3:a:openexr:openexr:*:*:*:*:*:*:*:*
3,CVE-2023-45853,9.8,"October 21, 2024 (15:21:49)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:zlib:zlib:1.2.13:*:*:*:*:*:*:*,cpe:2.3:a:zlib:zlib:*:*:*:*:*:*:*:*
3,vmVUN1-0002,9.8,"October 21, 2024 (15:21:49)",undetermined,trial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:zlib:zlib:1.2.13:*:*:*:*:*:*:*,cpe:2.3:a:zlib:zlib:*:*:*:*:*:*:*:*
3,21s2,9.8,"October 21, 2024 (15:21:49)",undetermined,vm_demo,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:zlib:zlib:1.2.13:*:*:*:*:*:*:*,cpe:2.3:a:zlib:zlib:*:*:*:*:*:*:*:*
3,testp2,9.8,"October 21, 2024 (22:33:05)",undetermined,test vm,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:zlib:zlib:1.2.13:*:*:*:*:*:*:*,cpe:2.3:a:zlib:zlib:*:*:*:*:*:*:*:*
3,testVUN1-2950,9.8,"October 21, 2024 (22:51:12)",undetermined,test vm,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:zlib:zlib:1.2.13:*:*:*:*:*:*:*,cpe:2.3:a:zlib:zlib:*:*:*:*:*:*:*:*
3,KOVM1VUN1-2950,9.8,"October 28, 2024 (21:14:01)",undetermined,KOVM1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:zlib:zlib:1.2.13:*:*:*:*:*:*:*,cpe:2.3:a:zlib:zlib:*:*:*:*:*:*:*:*
3,KOVUL1VUN1-2950,9.8,"October 29, 2024 (23:06:44)",undetermined,KOVUL1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:zlib:zlib:1.2.13:*:*:*:*:*:*:*,cpe:2.3:a:zlib:zlib:*:*:*:*:*:*:*:*
3,vmVUN1-2950,9.8,"October 21, 2024 (15:21:49)",undetermined,trial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:zlib:zlib:1.2.13:*:*:*:*:*:*:*,cpe:2.3:a:zlib:zlib:*:*:*:*:*:*:*:*
2,CVE-2014-3158,,"October 21, 2024 (15:21:46)",undetermined,nvd,,cpe:2.3:a:point-to-point_protocol_project:point-to-point_protocol:2.4.5:*:*:*:*:*:*:*,cpe:2.3:a:point-to-point_protocol_project:point-to-point_protocol:*:*:*:*:*:*:*:*
2,CVE-2015-0570,7.8,"October 21, 2024 (15:22:14)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2016-7076,7.8,"October 21, 2024 (15:21:46)",undetermined,nvd,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:sudo_project:sudo:1.7.8p1:*:*:*:*:*:*:*,cpe:2.3:a:sudo_project:sudo:*:*:*:*:*:*:*:*
2,CVE-2018-9465,7.8,"October 21, 2024 (15:23:35)",undetermined,nvd,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2019-2054,7.8,"October 21, 2024 (15:22:44)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2017-1000368,8.2,"October 21, 2024 (15:21:47)",undetermined,nvd,CVSS:3.0/AV:L/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,cpe:2.3:a:sudo_project:sudo:1.7.8p1:*:*:*:*:*:*:*,cpe:2.3:a:sudo_project:sudo:*:*:*:*:*:*:*:*
2,CVE-2018-7738,7.8,"October 21, 2024 (15:21:48)",undetermined,nvd,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:kernel:util-linux:2.13:*:*:*:*:*:*:*,cpe:2.3:a:kernel:util-linux:*:*:*:*:*:*:*:*
2,CVE-2020-1752,7,"October 21, 2024 (15:21:41)",undetermined,nvd,CVSS:3.1/AV:L/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
2,CVE-2009-5155,7.5,"October 21, 2024 (15:21:41)",undetermined,nvd,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,cpe:2.3:a:gnu:glibc:2.26:*:*:*:*:*:*:*,cpe:2.3:a:gnu:glibc:*:*:*:*:*:*:*:*
2,CVE-2019-1999,7.8,"October 21, 2024 (15:23:33)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-20240,8.8,"October 21, 2024 (15:21:41)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,cpe:2.3:a:gnome:gdk-pixbuf:2.30.3:*:*:*:*:*:*:*,cpe:2.3:a:gnome:gdk-pixbuf:*:*:*:*:*:*:*:*
2,CVE-2021-0512,7.8,"October 21, 2024 (15:22:50)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-42386,7.2,"October 21, 2024 (15:21:36)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:a:busybox:busybox:1.31.1:*:*:*:*:*:*:*,cpe:2.3:a:busybox:busybox:*:*:*:*:*:*:*:*
2,CVE-2022-0492,7.8,"October 21, 2024 (15:23:24)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-0204,8.8,"October 21, 2024 (15:21:37)",undetermined,nvd,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,,cpe:2.3:a:bluez:bluez:*:*:*:*:*:*:*:*
2,CVE-2021-39685,7.8,"October 21, 2024 (15:23:30)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-39686,7,"October 21, 2024 (15:23:41)",undetermined,nvd,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-39698,7.8,"October 21, 2024 (15:23:19)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-28391,8.8,"October 21, 2024 (15:21:36)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,cpe:2.3:a:busybox:busybox:1.31.1:*:*:*:*:*:*:*,cpe:2.3:a:busybox:busybox:*:*:*:*:*:*:*:*
2,CVE-2022-20141,7,"October 21, 2024 (15:23:04)",undetermined,nvd,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2023-22995,7.8,"October 21, 2024 (15:23:12)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2019-19377,7.8,"October 21, 2024 (15:22:04)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
